gvkey,tic,cusip,conm,cik
179666,LOGM,54142L109,LOGMEIN INC,1420302
179671,CCXI,16383L106,CHEMOCENTRYX INC,1340652
179686,ZGNX,98978L204,ZOGENIX INC,1375151
179690,SWI,83417Q204,SOLARWINDS CORP,1739942
179704,LTL,74347R263,PROSHARES ULTRA COMMNTN SRVS,
179716,ACWI,464288257,ISHARES MSCI ACWI ETF,
179717,ACWX,464288240,ISHARES MSCI ACWI EX US ETF,
179722,THD,464286624,ISHARES MSCI THAILAND ETF,
179723,EIS,464286632,ISHARES INC MSCI ISRAEL ETF,
179724,TUR,464286715,ISHARES MSCI TURKEY ETF,
179731,INSYQ,45824V209,INSYS THERAPEUTICS INC,1516479
179738,ERII,29270J100,ENERGY RECOVERY INC,1421517
179741,KKR,48251W104,KKR & CO INC,1404912
179748,EWGFF,27786T109,EAT WELL INVT GROUP INC,1518561
179750,NMEX,665416103,NORTHERN MINERALS & EXPL LTD,1415744
179765,NRGOF,72350R105,PINNACLE SILVER & GOLD CORP,1699130
179817,VRS,92531L207,VERSO CORP,1421182
179819,NX,747619104,QUANEX BUILDING PRODUCTS,1423221
179822,SIZYF,560829103,MAJOR PRECIOUS METALS,
179825,EVGDQ,28623W107,ELEVATION GOLD MINING CORP,1518353
179831,WES.3,958254104,WESTERN GAS PARTNERS LP,1414475
179834,CDNA,14167L103,CAREDX INC,1217234
179840,LAB,34385P108,STANDARD BIOTOOLS INC,1162194
179841,CDXS,192005106,CODEXIS INC,1200375
179843,IPI,46121Y201,INTREPID POTASH INC,1421461
179846,6179B,55399Z915,MHP S.E,
179854,TAN,46138G706,INVESCO SOLAR ETF,
179865,WMPN,96927A105,WILLIAM PENN BANCORP,1828376
179870,LRCPF,54418Y207,LORRAINE COPPER CORP,
179889,AGNC,00123Q104,AGNC INVESTMENT CORP,1423689
179895,RUM.,77472P200,ROCKY MOUNTAIN LIQUOR INC,
179903,SCYYF,80600L109,SCANDIUM INTL MINING CORP,1408146
179929,TMDIF,88830X819,TITAN MEDICAL INC,840551
179948,RKHNF,77340P101,ROCKHAVEN RESOURCES LTD,1422532
179957,ECHO,27875T101,ECHO GLOBAL LOGISTICS INC,1426945
179968,PST,74347R313,PROSHARES ULT SHRT 7-10,
